time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-11 00:00:00+00:00,16,10,128,2
2023-07-12 00:00:00+00:00,2,1,31,2
2023-07-13 00:00:00+00:00,1,1,1,1
2023-07-14 00:00:00+00:00,0,0,3,1
2023-07-15 00:00:00+00:00,0,0,3,1
2023-07-16 00:00:00+00:00,1,1,0,0
2023-07-17 00:00:00+00:00,1,1,5,1
2023-07-18 00:00:00+00:00,1,1,1,1
2023-07-19 00:00:00+00:00,2,2,163,9
2023-07-20 00:00:00+00:00,4,4,320,32
2023-07-21 00:00:00+00:00,5,5,629,50
2023-07-22 00:00:00+00:00,1,1,73,7
2023-07-23 00:00:00+00:00,0,0,24,7
2023-07-24 00:00:00+00:00,10,8,176,12
2023-07-25 00:00:00+00:00,3,3,266,10
2023-07-26 00:00:00+00:00,1,1,67,9
2023-07-27 00:00:00+00:00,2,2,62,5
2023-07-28 00:00:00+00:00,3,3,165,33
2023-07-29 00:00:00+00:00,2,2,90,9
2023-07-30 00:00:00+00:00,1,1,34,5
2023-07-31 00:00:00+00:00,13,5,252,8
2023-08-01 00:00:00+00:00,4,3,103,11
2023-08-02 00:00:00+00:00,8,4,334,15
2023-08-03 00:00:00+00:00,1,1,51,10
2023-08-04 00:00:00+00:00,2,2,65,8
2023-08-05 00:00:00+00:00,3,3,8,2
2023-08-06 00:00:00+00:00,2,2,6,2
2023-08-07 00:00:00+00:00,3,3,48,8
2023-08-08 00:00:00+00:00,2,2,70,7
2023-08-09 00:00:00+00:00,1,1,98,5
2023-08-10 00:00:00+00:00,1,1,156,11
2023-08-11 00:00:00+00:00,2,2,96,9
2023-08-12 00:00:00+00:00,1,1,6,3
2023-08-13 00:00:00+00:00,1,1,3,1
2023-08-14 00:00:00+00:00,2,2,15,7
2023-08-15 00:00:00+00:00,2,2,10,3
2023-08-16 00:00:00+00:00,2,2,5,2
2023-08-17 00:00:00+00:00,5,4,38,4
2023-08-18 00:00:00+00:00,3,3,10,6
2023-08-19 00:00:00+00:00,1,1,4,2
2023-08-20 00:00:00+00:00,1,1,4,1
2023-08-21 00:00:00+00:00,2,2,38,4
2023-08-22 00:00:00+00:00,1,1,132,9
2023-08-23 00:00:00+00:00,1,1,15,5
2023-08-24 00:00:00+00:00,1,1,15,5
2023-08-25 00:00:00+00:00,2,2,22,8
2023-08-26 00:00:00+00:00,1,1,4,3
2023-08-27 00:00:00+00:00,2,2,55,4
